Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
34589.5,48302.83,32075.2,68091.63,55612.39,70890.52,57486.18,57973.27
34601.3,48298.0,32088.07,68067.5,55589.32,70880.86,57471.96,57973.0
34617.66,48306.59,32095.58,68072.59,55563.04,70882.21,57441.92,57972.2
34618.74,48314.9,32089.41,68097.0,55568.4,70889.98,57440.31,57970.05
34602.91,48308.46,32080.83,68104.78,55594.95,70889.72,57466.06,57964.95
34592.45,48296.93,32081.1,68083.59,55605.15,70879.25,57480.01,57959.32
34604.25,48292.1,32091.56,68060.52,55584.49,70871.48,57460.43,57965.22
34620.35,48302.83,32098.0,68068.57,55564.38,70879.25,57433.07,57971.39
34619.01,48314.37,32089.68,68097.0,55574.3,70891.86,57437.36,57973.54
34601.3,48309.0,32077.08,68109.34,55605.15,70894.54,57466.33,57972.73
34592.18,48297.2,32075.2,68089.49,55618.29,70888.11,57481.35,57973.81
34605.59,48293.98,32089.41,68064.54,55597.64,70878.18,57461.5,57975.15
34623.57,48302.83,32101.48,68067.23,55572.42,70878.99,57437.63,57975.68
34623.03,48311.68,32093.97,68093.24,55579.4,70889.18,57441.92,57973.54
34605.59,48307.66,32078.95,68105.05,55610.51,70892.4,57469.82,57972.2
34595.94,48295.59,32078.95,68082.78,55621.51,70882.47,57483.23,57973.0
34607.47,48293.44,32089.68,68059.72,55601.12,70873.89,57462.04,57974.61
34623.3,48305.25,32095.58,68069.1,55582.35,70883.01,57435.22,57979.44
34623.03,48316.24,32087.8,68099.68,55592.27,70896.96,57437.1,57980.24
34606.67,48311.42,32076.27,68110.14,55623.12,70899.64,57464.99,57978.1
34608.01,48293.98,32092.63,68063.2,55611.32,70876.84,57459.09,57978.63
34626.52,48302.83,32101.48,68068.57,55586.64,70877.11,57429.32,57978.63
34625.44,48312.76,32093.97,68095.93,55594.69,70887.57,57431.46,57978.37
34608.81,48309.0,32080.56,68107.73,55624.73,70889.98,57461.24,57975.95
34600.23,48296.39,32081.1,68088.42,55637.87,70881.13,57478.67,57974.61
34611.23,48291.3,32092.1,68062.67,55615.61,70870.94,57460.43,57972.73
34626.25,48302.83,32099.07,68070.45,55595.22,70878.18,57433.07,57974.07
34624.64,48313.56,32093.71,68098.61,55604.61,70889.72,57434.95,57976.22
34608.28,48307.66,32080.83,68111.75,55635.72,70891.06,57463.38,57977.83
34598.35,48295.59,32078.69,68092.17,55648.6,70881.13,57482.69,57980.24
34608.81,48293.98,32092.1,68070.71,55631.16,70874.96,57464.99,57984.0
34627.05,48304.44,32100.41,68079.3,55608.63,70880.6,57439.24,57984.27
34627.32,48315.71,32090.76,68108.8,55617.75,70893.74,57443.8,57983.19
34612.3,48311.42,32080.03,68121.14,55648.33,70896.96,57472.23,57979.71
34601.3,48299.35,32077.61,68099.68,55662.81,70888.37,57486.72,57979.71
34611.5,48295.86,32089.15,68075.01,55641.89,70879.25,57465.8,57980.51
34628.93,48306.59,32098.53,68079.83,55618.56,70883.01,57433.61,57979.71
34628.39,48315.71,32089.95,68106.66,55625.8,70891.86,57432.54,57975.41
34609.89,48311.68,32073.59,68117.92,55658.25,70895.08,57460.97,57973.0
34597.82,48299.35,32070.1,68098.07,55674.08,70887.03,57477.06,57974.07
34609.08,48294.25,32080.56,68075.54,55655.57,70880.33,57456.68,57976.76
34628.39,48304.17,32089.41,68079.57,55632.24,70883.28,57427.98,57977.02
34628.39,48316.78,32079.49,68108.8,55642.7,70896.96,57430.93,57977.56
34613.1,48314.1,32070.91,68121.68,55674.08,70899.91,57462.04,57976.22
34602.11,48300.95,32071.18,68099.41,55686.42,70889.72,57481.35,57975.95
34610.42,48298.81,32078.15,68078.76,55670.06,70885.42,57470.62,57976.49
34629.2,48312.22,32088.34,68087.34,55649.94,70894.28,57443.8,57978.37
34627.05,48324.83,32082.98,68118.19,55658.79,70908.49,57440.31,57982.39
34608.54,48321.34,32071.44,68130.26,55687.22,70910.91,57465.8,57983.73
34594.87,48309.54,32067.42,68109.34,55699.56,70899.91,57481.35,57982.66
34603.99,48307.66,32077.61,68087.08,55681.05,70891.06,57464.19,57983.73
34622.76,48316.78,32087.54,68090.83,55657.72,70894.28,57435.22,57983.46
34624.1,48326.17,32081.37,68122.21,55666.3,70906.61,57435.22,57982.93
34606.94,48322.41,32067.96,68138.31,55698.22,70911.71,57466.06,57982.39
34597.55,48309.81,32070.1,68120.33,55712.97,70900.44,57484.84,57980.78
